"Designation,Bore mm,Bore in,Outside diameter mm,Outside diameter in,Width mm,Width in,Dynamic C N,Dynamic C lbf,Static CO N,Static CO lbf,Reference speed r/min,Limiting speed r/min,Sealed Limiting speed r/min,Mass kg,Mass lb"
"61926,130,5.1181,180,7.0866,24,0.9449,65000,14610,67000,15060,7500,4500,– ,1.60,3.53"
"61928,140,5.5118,190,7.4803,24,0.9449,66300,14900,72000,16180,7000,4300,– ,1.70,3.75"
"61930 MA,150,5.9055,210,8.2677,28,1.1024,88400,19870,93000,20900,6300,5300,– ,3.03,6.69"
"61932 MA,160,6.2992,220,8.6614,28,1.1024,92300,20740,98000,22020,6000,5000,– ,3.20,7.06"
"61934 MA,170,6.6929,230,9.0551,28,1.1024,93600,21030,106000,23820,5600,4800,– ,3.37,7.43"
"61936 MA,180,7.0866,250,9.8425,33,1.2992,119000,26740,134000,30110,5300,4300,– ,4.99,11.00"
"61938 MA,190,7.4803,260,10.2362,33,1.2992,117000,26290,134000,30110,5000,4300,5.21,5.21,11.50"
"61940 MA,200,7.8740,280,11.0236,38,1.4961,148000,33260,166000,37300,4800,3800,7.32,7.32,16.15"
"61944 MA,220,8.6614,300,11.8110,38,1.4961,151000,33930,180000,40450,4300,3600,7.93,7.93,17.49"
"61948 MA,240,9.4488,320,12.5984,38,1.4961,159000,35730,200000,44940,4000,3200,8.54,8.54,18.84"
"61952 MA,260,10.2362,360,14.1732,46,1.8110,212000,47640,270000,60670,3600,3000,14.42,14.42,31.80"
"61956 MA,280,11.0236,380,14.9606,46,1.8110,216000,48540,285000,64040,3200,2800,15.34,15.34,33.83"
"61960 MA,300,11.8110,420,16.5354,56,2.2047,270000,60670,375000,84270,3000,2400,24.35,24.35,53.69"
"61964 MA,320,12.5984,440,17.3228,56,2.2047,276000,62020,400000,89890,2800,2400,25.50,25.50,56.23"
"61968 MA,340,13.3858,460,18.1102,56,2.2047,281000,63150,425000,95510,2600,2200,26.50,26.50,58.43"
"61972 MA,360,14.1732,480,18.8976,56,2.2047,291000,65390,450000,101120,2600,2200,28.00,28.00,61.74"
"61976 MA,380,14.9606,520,20.4724,65,2.5591,338000,75960,540000,121350,2400,1900,40.00,40.00,88.20"
"61980 MA,400,15.7480,540,21.2598,65,2.5591,345000,77530,570000,128090,2200,1800,41.50,41.50,91.51"
"61984 MA,420,16.5354,560,22.0472,65,2.5591,351000,78880,600000,134830,2200,1800,43.00,43.00,94.82"
"61988 MA,440,17.3228,600,23.6220,74,2.9134,410000,92130,720000,161800,2000,1600,60.50,60.50,133.40"
"61992 MA,460,18.1102,620,24.4094,74,2.9134,423000,95060,750000,168540,1900,1600,62.50,62.50,137.81"
"61996 MA,480,18.8976,650,25.5906,78,3.0709,449000,100900,815000,183150,1800,1500,74.00,74.00,163.17"
"619 / 500 MA,500,19.6850,670,26.3780,78,3.0709,462000,103820,865000,194380,1700,1400,81.50,81.50,179.71"
"619 / 530 MA,530,20.8661,710,27.9528,82,3.2283,488000,109660,930000,208990,1600,1300,90.50,90.50,199.55"
"619 / 560 MA,560,22.0472,750,29.5276,85,3.3465,494000,111010,980000,220220,1500,1200,105.00,105.00,231.53"
"619 / 600 MA,600,23.6220,800,31.4961,90,3.5433,585000,131460,1220000,274160,1400,1100,125.00,125.00,275.63"
"619 / 670 MA,670,26.3780,900,35.4331,103,4.0551,676000,151910,1500000,337080,1200,1000,192.00,192.00,423.36"
"619 / 710 MA,710,27.9528,950,37.4016,106,4.1732,663000,148990,1500000,337080,1100,900,220.00,220.00,485.10"
"619 / 750 MA,750,29.5276,1000,39.3701,112,4.4094,761000,171010,1799999,404490,1000,850,255.00,255.00,562.28"
"619 / 800 MA,800,31.4961,1060,41.7323,115,4.5276,832000,186970,2039999,458430,950,800,275.00,275.00,606.38"
"619 / 850 MA,850,33.4646,1120,44.0945,118,4.6457,852000,191460,2119999,476400,850,750,320.00,320.00,705.60"
"6205 / C78,25,0.9843,52,2.0472,15,0.5906,14800,3330,7800,1750,28000,18000,,0.13,0.29"
"6206 / C78,30,1.1811,62,2.4409,16,0.6299,20300,4560,11200,2520,24000,15000,,0.20,0.44"
"6207 / C78,35,1.3780,72,2.8346,17,0.6693,27000,6070,15300,3440,20000,13000,,0.28,0.62"
"6208 / C78,40,1.5748,80,3.1496,18,0.7087,32500,7310,19000,4270,18000,11000,,0.36,0.79"
"6209 / C78,45,1.7717,85,3.3465,19,0.748,35100,7890,21600,4860,17000,11000,,0.41,0.90"
"6210 / C78,50,1.9685,90,3.5433,20,0.7874,37100,8340,23200,5220,15000,10000,,0.46,1.01"
"6211 / C78,55,2.1654,100,3.9370,21,0.8268,46200,10390,29000,6520,14000,9000,,0.60,1.32"
"6212 / C78,60,2.3622,110,4.3307,22,0.8661,55300,12430,36000,8090,13000,8000,,0.78,1.72"
"6213 / C78,65,2.5591,120,4.7244,23,0.9055,58500,13150,40500,9100,12000,7500,,0.99,2.18"
"6214 / C78,70,2.7559,125,4.9213,24,0.9449,63700,14320,45000,10120,11000,7000,,1.07,2.40"
"6215 / C78,75,2.9528,130,5.1181,25,0.9843,68900,15490,49000,11020,10000,6700,,1.20,2.60"
"6216 / C78,80,3.1496,140,5.5118,26,1.0236,72800,16370,55000,12360,9500,6000,,1.42,3.10"
"6217 / C78,85,3.3465,150,5.9055,28,1.1024,87100,19580,64000,14390,9000,5600,,1.80,4.00"
"6218 / C78,90,3.5433,160,6.2992,30,1.1811,101000,22700,73500,16520,8500,5300,,2.15,4.70"
"6303 / C78,17,0.6693,47,1.8504,14,0.5512,14300,3210,6550,1470,34000,22000,,0.12,0.26"
"6304 / C78,20,0.7874,52,2.0472,15,0.5906,16800,3780,7800,1750,30000,19000,,0.14,0.31"
"6305 / C78,25,0.9843,62,2.4409,17,0.6693,23400,5260,11600,2610,24000,16000,,0.23,0.50"
"6306 / C78,30,1.1811,72,2.8346,19,0.748,29600,6650,16000,3600,20000,13000,,0.34,0.70"
"6307 / C78,35,1.3780,80,3.1496,21,0.8268,35100,7890,19000,4270,19000,12000,,0.46,1.00"
"6308 / C78,40,1.5748,90,3.5433,23,0.9055,42300,9510,24000,5400,17000,11000,,0.63,1.40"
"6309 / C78,45,1.7717,100,3.9370,25,0.9843,55300,12430,31500,7080,15000,9500,,0.84,1.90"
"6310 / C78,50,1.9685,110,4.3307,27,1.063,65000,14610,38000,8540,13000,8500,,1.10,2.40"
"6311 / C78,55,2.1654,120,4.7244,29,1.1417,74100,16660,45000,10120,12000,8000,,1.39,3.10"
"6312 / C78,60,2.3622,130,5.1181,31,1.2205,85200,19150,52000,11690,11000,7000,,1.75,3.90"
"6313 / C78,65,2.5591,140,5.5118,33,1.2992,97500,21920,60000,13490,10000,6700,,2.10,4.60"
"6314 / C78,70,2.7559,150,5.9055,35,1.378,111000,24950,68000,15290,9500,6300,,2.55,5.60"
"6315 / C78,75,2.9528,160,6.2992,37,1.4567,119000,26750,76500,17200,9000,5600,,3.05,6.70"
"6316 / C78,80,3.1496,170,6.6929,39,1.5354,130000,29220,86500,19450,8500,5300,,3.59,7.90"
"6317 / C78,85,3.3465,180,7.0866,41,1.6142,140000,31470,96500,21690,8000,5000,,4.30,9.50"
"206,30,1.1811,62,2.4409,16,0.6299,21000,4800,14510,3300,20000,12000,,0.21,0.46"
"207,35,1.3780,72,2.8346,17,0.6693,27760,6300,19740,4500,17000,11000,,0.31,0.68"
"208,40,1.5748,80,3.1496,18,0.7087,33370,7600,24200,5500,15000,9500,,0.39,0.86"
"209,45,1.7717,85,3.3465,19,0.7480,35100,7900,26070,5900,14000,9000,,0.44,0.97"
"210,50,1.9685,90,3.5433,20,0.7874,38920,8800,29760,6700,13000,8000,,0.50,1.10"
"211,55,2.1654,100,3.9370,21,0.8268,48110,10900,37670,8500,12000,7500,,0.66,1.50"
"212,60,2.3622,110,4.3307,22,0.8661,55540,12500,43400,9800,11000,6700,,0.85,1.90"
"213,65,2.5591,120,4.7244,23,0.9055,60500,13700,58500,13200,10000,6000,,1.05,2.30"
"214,70,2.7559,125,4.9213,24,0.9449,66000,14900,65500,14800,9500,6000,,1.15,2.50"
"215,75,2.9528,130,5.1181,25,0.9843,72100,16300,72000,16200,9000,5600,,1.25,2.80"
"216,80,3.1496,140,5.5118,26,1.0236,88000,19800,85000,19200,8500,5300,,1.55,3.40"
"217,85,3.3465,150,5.9055,28,1.1024,96800,21800,100000,22500,7500,4800,,1.95,4.30"
"218,90,3.5433,160,6.2992,30,1.1811,112000,25200,114000,25700,7000,4500,,2.35,5.20"
"219,95,3.7402,170,6.6929,32,1.2598,121000,27300,122000,27500,6700,4300,,2.70,6.00"
"220,100,3.9370,180,7.0866,34,1.3386,134000,30200,140000,31500,6300,4000,,3.45,7.60"
"305,25,0.9843,62,2.4409,17,0.6693,22900,5200,15600,3600,20000,13000,,0.24,0.50"
"306,30,1.1811,72,2.8346,19,0.7480,29490,6700,20480,4700,18000,11000,,0.37,0.80"
"307,35,1.3780,80,3.1496,21,0.8268,34860,7900,24640,5600,16000,10000,,0.48,1.10"
"308,40,1.5748,90,3.5433,23,0.9055,45200,10200,33570,7600,14000,9000,,0.64,1.40"
"309,45,1.7717,100,3.9370,25,0.9843,55260,12500,41260,9300,13000,8000,,0.88,1.90"
"310,50,1.9685,110,4.3307,27,1.0630,64730,14600,49100,11100,11000,7000,,1.15,2.50"
"311,55,2.1654,120,4.7244,29,1.1417,79200,17800,67000,15100,10000,6700,,1.50,3.30"
"312,60,2.3622,130,5.1181,31,1.2205,91300,20500,78000,17600,9500,6000,,1.85,4.10"
"313,65,2.5591,140,5.5118,33,1.2992,102000,22900,90000,20300,9000,5600,,2.30,5.10"
"314,70,2.7559,150,5.9055,35,1.3780,114000,25600,102000,23000,8000,5000,,2.75,6.10"
"315,75,2.9528,160,6.2992,37,1.4567,125000,28100,116000,26100,7500,4800,,3.25,7.20"
"316,80,3.1496,170,6.6929,39,1.5354,138000,31000,129000,29000,7000,4500,,3.95,8.70"
"317,85,3.3465,180,7.0866,41,1.6142,147000,33100,146000,32900,6700,4300,,4.60,10.10"
"318,90,3.5433,190,7.4803,43,1.6929,157000,35300,160000,36000,6300,4000,,5.40,11.90"
